epoch,step,train_loss,val_loss,lr_encoder,lr_output,time

--- New Fine-tuning Run ---
epoch,step,train_loss,val_loss,lr_encoder,lr_output,time
1,125,6.9045,5.1186,1.00e-05,5.00e-05,2025-05-25 10:52:46
2,125,5.0056,4.9011,1.00e-05,5.00e-05,2025-05-25 10:58:53
3,125,4.8374,4.6726,1.00e-05,5.00e-05,2025-05-25 11:06:49
4,125,4.4162,3.8929,1.00e-05,5.00e-05,2025-05-25 11:12:35
5,125,3.6730,3.2059,1.00e-05,5.00e-05,2025-05-25 11:18:22
6,125,3.1038,2.7123,1.00e-05,5.00e-05,2025-05-25 11:21:55
7,125,2.6715,2.3339,1.00e-05,5.00e-05,2025-05-25 11:22:53
8,125,2.3360,2.0416,1.00e-05,5.00e-05,2025-05-25 11:23:50
9,125,2.0686,1.8110,1.00e-05,5.00e-05,2025-05-25 11:24:47
10,125,1.8514,1.6259,1.00e-05,5.00e-05,2025-05-25 11:25:43
11,125,1.6727,1.4682,1.00e-05,5.00e-05,2025-05-25 11:26:41
12,125,1.5209,1.3343,1.00e-05,5.00e-05,2025-05-25 11:27:37
13,125,1.3928,1.2240,1.00e-05,5.00e-05,2025-05-25 11:28:33
14,125,1.2815,1.1252,1.00e-05,5.00e-05,2025-05-25 11:29:30
15,125,1.1824,1.0437,1.00e-05,5.00e-05,2025-05-25 11:30:26
16,125,1.0938,0.9669,1.00e-05,5.00e-05,2025-05-25 11:31:23
17,125,1.0126,0.8961,1.00e-05,5.00e-05,2025-05-25 11:32:19
18,125,0.9396,0.8305,1.00e-05,5.00e-05,2025-05-25 11:33:16
19,125,0.8702,0.7712,1.00e-05,5.00e-05,2025-05-25 11:34:13
20,125,0.8081,0.7234,1.00e-05,5.00e-05,2025-05-25 11:35:10
21,125,0.7511,0.6746,1.00e-05,5.00e-05,2025-05-25 11:36:06
22,125,0.6990,0.6299,1.00e-05,5.00e-05,2025-05-25 11:37:02
23,125,0.6521,0.5928,1.00e-05,5.00e-05,2025-05-25 11:37:59
24,125,0.6093,0.5571,1.00e-05,5.00e-05,2025-05-25 11:38:57
25,125,0.5708,0.5243,1.00e-05,5.00e-05,2025-05-25 11:39:55
26,125,0.5344,0.5005,1.00e-05,5.00e-05,2025-05-25 11:40:52
27,125,0.5028,0.4739,1.00e-05,5.00e-05,2025-05-25 11:41:54
28,125,0.4722,0.4489,1.00e-05,5.00e-05,2025-05-25 11:48:25
29,125,0.4455,0.4291,1.00e-05,5.00e-05,2025-05-25 11:55:07
30,125,0.4198,0.4094,1.00e-05,5.00e-05,2025-05-25 12:00:52

--- New Fine-tuning Run ---
epoch,step,train_loss,val_loss,lr_encoder,lr_output,time
1,125,5.0245,4.5294,5.00e-04,5.00e-04,2025-05-25 12:09:51
2,125,3.3890,2.2983,5.00e-04,5.00e-04,2025-05-25 12:10:54
3,125,2.0704,1.5441,5.00e-04,5.00e-04,2025-05-25 12:11:52
4,125,1.4114,1.0397,5.00e-04,5.00e-04,2025-05-25 12:12:53
5,125,1.0645,0.8416,5.00e-04,5.00e-04,2025-05-25 12:13:55
6,125,0.7957,0.6008,5.00e-04,5.00e-04,2025-05-25 12:14:54
7,125,0.6357,0.5335,5.00e-04,5.00e-04,2025-05-25 12:15:55
8,125,0.5532,0.5276,5.00e-04,5.00e-04,2025-05-25 12:16:52
9,125,0.4241,0.3676,5.00e-04,5.00e-04,2025-05-25 12:17:52
10,125,0.3651,0.3387,5.00e-04,5.00e-04,2025-05-25 12:18:54
11,125,0.3244,0.2872,5.00e-04,5.00e-04,2025-05-25 12:19:52
12,125,0.2576,0.2926,5.00e-04,5.00e-04,2025-05-25 12:20:52
13,125,0.2245,0.2495,5.00e-04,5.00e-04,2025-05-25 12:21:50
14,125,0.2045,0.2510,5.00e-04,5.00e-04,2025-05-25 12:22:49
15,125,0.1544,0.2309,5.00e-04,5.00e-04,2025-05-25 12:23:48
16,125,0.1502,0.2091,5.00e-04,5.00e-04,2025-05-25 12:24:45
17,125,0.1285,0.2424,5.00e-04,5.00e-04,2025-05-25 12:25:44
18,125,0.1270,0.1971,5.00e-04,5.00e-04,2025-05-25 12:26:41
19,125,0.0980,0.1889,5.00e-04,5.00e-04,2025-05-25 12:27:40
20,125,0.0917,0.1969,5.00e-04,5.00e-04,2025-05-25 12:28:35
21,125,0.0897,0.1803,5.00e-04,5.00e-04,2025-05-25 12:29:36
22,125,0.0748,0.1892,5.00e-04,5.00e-04,2025-05-25 12:30:35
23,125,0.0670,0.1714,5.00e-04,5.00e-04,2025-05-25 12:31:35
24,125,0.0658,0.2631,5.00e-04,5.00e-04,2025-05-25 12:32:36
25,125,0.0711,0.1966,5.00e-04,5.00e-04,2025-05-25 12:33:35
26,125,0.0544,0.1846,5.00e-04,5.00e-04,2025-05-25 12:34:33
27,125,0.0641,0.1877,5.00e-04,5.00e-04,2025-05-25 12:35:39
28,125,0.0519,0.1987,5.00e-04,5.00e-04,2025-05-25 12:36:50
29,125,0.0468,0.1899,5.00e-04,5.00e-04,2025-05-25 12:38:01
30,125,0.0471,0.2045,5.00e-04,5.00e-04,2025-05-25 12:39:11
